bot_white,bot_black,games,bot_white_points,bot_black_points,bot_white_wins,bot_black_wins,draws
tabounv1,tabounv2,20,2.0,18.0,0,16,4
tabounv1,tabounv3,20,0.0,20.0,0,20,0
tabounv1,tabounv4,20,1.5,18.5,0,17,3
tabounv1,tabounv5,20,0.5,19.5,0,19,1
tabounv1,tabounv6,20,0.0,20.0,0,20,0
tabounv1,tabounv7,20,0.5,19.5,0,19,1
tabounv2,tabounv3,20,0.0,20.0,0,20,0
tabounv2,tabounv4,20,5.0,15.0,0,10,10
tabounv2,tabounv5,20,5.0,15.0,0,10,10
tabounv2,tabounv6,20,0.0,20.0,0,20,0
tabounv2,tabounv7,20,0.0,20.0,0,20,0
tabounv3,tabounv4,20,5.0,15.0,0,10,10
tabounv3,tabounv5,20,5.0,15.0,0,10,10
tabounv3,tabounv6,20,0.0,20.0,0,20,0
tabounv3,tabounv7,20,0.0,20.0,0,20,0
tabounv4,tabounv5,20,10.0,10.0,10,10,0
tabounv4,tabounv6,20,0.0,20.0,0,20,0
tabounv4,tabounv7,20,0.0,20.0,0,20,0
tabounv5,tabounv6,20,0.0,20.0,0,20,0
tabounv5,tabounv7,20,0.0,20.0,0,20,0
tabounv6,tabounv7,20,10.0,10.0,10,10,0
