bot_white,bot_black,games,bot_white_points,bot_black_points,bot_white_wins,bot_black_wins,draws
tabounv1,tabounv2,2,0.0,2.0,0,2,0
tabounv1,tabounv3,2,0.0,2.0,0,2,0
tabounv1,tabounv4,2,0.5,1.5,0,1,1
tabounv1,tabounv5,2,0.0,2.0,0,2,0
tabounv1,tabounv6,2,0.0,2.0,0,2,0
tabounv1,tabounv7,2,0.0,2.0,0,2,0
tabounv2,tabounv3,2,0.0,2.0,0,2,0
tabounv2,tabounv4,2,0.5,1.5,0,1,1
tabounv2,tabounv5,2,0.5,1.5,0,1,1
tabounv2,tabounv6,2,0.0,2.0,0,2,0
tabounv2,tabounv7,2,0.0,2.0,0,2,0
tabounv3,tabounv4,2,0.5,1.5,0,1,1
tabounv3,tabounv5,2,0.5,1.5,0,1,1
tabounv3,tabounv6,2,0.0,2.0,0,2,0
tabounv3,tabounv7,2,0.0,2.0,0,2,0
tabounv4,tabounv5,2,1.0,1.0,1,1,0
tabounv4,tabounv6,2,0.0,2.0,0,2,0
tabounv4,tabounv7,2,0.0,2.0,0,2,0
tabounv5,tabounv6,2,0.0,2.0,0,2,0
tabounv5,tabounv7,2,0.0,2.0,0,2,0
tabounv6,tabounv7,2,1.0,1.0,1,1,0
